"payment_date","country","sum"
"2007-02-14","France","4.99"
"2007-02-14","India","14.97"
"2007-02-14","United States","2.99"
"2007-02-15","France","8.98"
"2007-02-15","India","99.75"
"2007-02-15","United States","68.80"
"2007-02-16","France","0.99"
"2007-02-16","India","132.70"
"2007-02-16","United States","49.84"
"2007-02-17","France","3.98"
"2007-02-17","India","65.85"
"2007-02-17","United States","101.76"
"2007-02-18","France","11.96"
"2007-02-18","India","131.70"
"2007-02-18","United States","77.79"
"2007-02-19","France","7.98"
"2007-02-19","India","80.77"
"2007-02-19","United States","63.83"
"2007-02-20","France","10.95"
"2007-02-20","India","83.73"
"2007-02-20","United States","78.85"
"2007-02-21","France","2.99"
"2007-02-21","India","57.85"
"2007-02-21","United States","30.91"
"2007-03-01","India","296.39"
"2007-03-01","United States","204.53"
"2007-03-02","France","11.96"
"2007-03-02","India","256.38"
"2007-03-02","United States","169.58"
"2007-03-16","France","4.99"
"2007-03-16","India","18.93"
"2007-03-16","United States","30.94"
"2007-03-17","France","13.96"
"2007-03-17","India","238.46"
"2007-03-17","United States","182.60"
"2007-03-18","France","3.99"
"2007-03-18","India","341.28"
"2007-03-18","United States","137.61"
"2007-03-19","France","16.95"
"2007-03-19","India","261.37"
"2007-03-19","United States","149.67"
"2007-03-20","France","3.98"
"2007-03-20","India","292.39"
"2007-03-20","United States","146.63"
"2007-03-21","France","13.96"
"2007-03-21","India","371.21"
"2007-03-21","United States","208.55"
"2007-03-22","France","10.97"
"2007-03-22","India","236.41"
"2007-03-22","United States","107.75"
"2007-03-23","India","234.41"
"2007-03-23","United States","181.59"
"2007-04-05","India","35.93"
"2007-04-05","United States","21.96"
"2007-04-06","France","24.95"
"2007-04-06","India","186.56"
"2007-04-06","United States","112.73"
"2007-04-07","France","14.97"
"2007-04-07","India","200.53"
"2007-04-07","United States","92.81"
"2007-04-08","France","23.94"
"2007-04-08","India","170.59"
"2007-04-08","United States","135.66"
"2007-04-09","France","10.96"
"2007-04-09","India","152.60"
"2007-04-09","United States","127.71"
"2007-04-10","France","6.98"
"2007-04-10","India","215.45"
"2007-04-10","United States","101.76"
"2007-04-11","France","17.96"
"2007-04-11","India","194.50"
"2007-04-11","United States","135.74"
"2007-04-12","France","9.98"
"2007-04-12","India","154.63"
"2007-04-12","United States","115.69"
"2007-04-26","India","47.90"
"2007-04-26","United States","18.96"
"2007-04-27","France","8.97"
"2007-04-27","India","282.33"
"2007-04-27","United States","153.64"
"2007-04-28","India","247.36"
"2007-04-28","United States","156.63"
"2007-04-29","France","26.95"
"2007-04-29","India","243.44"
"2007-04-29","United States","155.67"
"2007-04-30","France","53.89"
"2007-04-30","India","625.64"
"2007-04-30","United States","333.24"
"2007-05-14","France","0.99"
"2007-05-14","India","62.77"
"2007-05-14","United States","28.89"
