"country","category"
"Afghanistan","War_zone"
"Algeria","Unclassified"
"American Samoa","Unclassified"
"Angola","Unclassified"
"Anguilla","Unclassified"
"Argentina","Unclassified"
"Armenia","Unclassified"
"Australia","Commonwealth_selection"
"Austria","Unclassified"
"Azerbaijan","Unclassified"
"Bahrain","Unclassified"
"Bangladesh","Unclassified"
"Belarus","Unclassified"
"Bolivia","Unclassified"
"Brazil","Developing_countries"
"Brunei","Unclassified"
"Bulgaria","Unclassified"
"Cambodia","Unclassified"
"Cameroon","Unclassified"
"Canada","Countries_of_freedom"
"Chad","Unclassified"
"Chile","Unclassified"
"China","Countries_of_autocracy"
"Colombia","Unclassified"
"Congo, The Democratic Republic of the","Unclassified"
"Czech Republic","Unclassified"
"Dominican Republic","Unclassified"
"Ecuador","Unclassified"
"Egypt","Arab_league"
"Estonia","Unclassified"
"Ethiopia","Unclassified"
"Faroe Islands","Unclassified"
"Finland","Unclassified"
"France","Commonwealth_selection"
"French Guiana","Unclassified"
"French Polynesia","Unclassified"
"Gambia","Unclassified"
"Germany","Unclassified"
"Greece","Unclassified"
"Greenland","Unclassified"
"Holy See (Vatican City State)","Unclassified"
"Hong Kong","Unclassified"
"Hungary","Unclassified"
"India","Unclassified"
"Indonesia","Unclassified"
"Iran","Unclassified"
"Iraq","Arab_league"
"Israel","Unclassified"
"Italy","Unclassified"
"Japan","Unclassified"
"Kazakstan","Developing_countries"
"Kenya","Unclassified"
"Kuwait","Unclassified"
"Latvia","Unclassified"
"Liechtenstein","Unclassified"
"Lithuania","Unclassified"
"Madagascar","Unclassified"
"Malawi","Unclassified"
"Malaysia","Unclassified"
"Mexico","Countries_of_freedom"
"Moldova","Unclassified"
"Morocco","Unclassified"
"Mozambique","Unclassified"
"Myanmar","Unclassified"
"Nauru","Unclassified"
"Nepal","Unclassified"
"Netherlands","Unclassified"
"New Zealand","Unclassified"
"Nigeria","Unclassified"
"North Korea","Countries_of_autocracy"
"Oman","Unclassified"
"Pakistan","Unclassified"
"Paraguay","Unclassified"
"Peru","Developing_countries"
"Philippines","Unclassified"
"Poland","Unclassified"
"Puerto Rico","Unclassified"
"Romania","Unclassified"
"Runion","Unclassified"
"Russian Federation","Unclassified"
"Saint Vincent and the Grenadines","Unclassified"
"Saudi Arabia","Unclassified"
"Senegal","Unclassified"
"Slovakia","Unclassified"
"South Africa","Unclassified"
"South Korea","Unclassified"
"Spain","Unclassified"
"Sri Lanka","Unclassified"
"Sudan","Unclassified"
"Sweden","Unclassified"
"Switzerland","Unclassified"
"Taiwan","Unclassified"
"Tanzania","Unclassified"
"Thailand","Unclassified"
"Tonga","Unclassified"
"Tunisia","Unclassified"
"Turkey","Unclassified"
"Turkmenistan","Unclassified"
"Tuvalu","Unclassified"
"Ukraine","War_zone"
"United Arab Emirates","Arab_league"
"United Kingdom","Commonwealth_selection"
"United States","Countries_of_freedom"
"Venezuela","Unclassified"
"Vietnam","Unclassified"
"Virgin Islands, U.S.","Unclassified"
"Yemen","Unclassified"
"Yugoslavia","Unclassified"
"Zambia","Unclassified"
